Year,State_UT,City,Location,Pollutant,Annual_Avg_ugm3,Source
2019,Andhra Pradesh,Anantapur,Kamala Nagar,SO2,6,Manual_Monitoring
2019,Andhra Pradesh,Anantapur,APIIC Industrial Estate,SO2,5,Manual_Monitoring
2019,Andhra Pradesh,Anantapur,Sharada Nagar,SO2,5,Manual_Monitoring
2019,Andhra Pradesh,Chitoor,GNC Toll Gate Tirumala,SO2,5,Manual_Monitoring
2019,Delhi,Delhi,Shahadra,SO2,6,Manual_Monitoring
2019,Delhi,Delhi,Town Hall Chandni Chowk,NO2,117,Manual_Monitoring
2019,Delhi,Delhi,Town Hall Chandni Chowk,PM10,258,Manual_Monitoring
2019,Uttar Pradesh,Agra,Nunhai,PM2.5,160,Manual_Monitoring
2019,Uttar Pradesh,Hapur,Srinagar Colony,PM2.5,114,Manual_Monitoring
2020,Delhi,Delhi,Shahzada Bagh,NO2,70,Manual_Monitoring
2020,Delhi,Delhi,Pritampura,PM10,234,Manual_Monitoring
2020,Delhi,Delhi,Pritampura,PM2.5,145,Manual_Monitoring
2020,Maharashtra,Pune,Swargate Police Chowki,NO2,62,Manual_Monitoring
2020,Maharashtra,Pune,Swargate Police Chowki,PM10,125,Manual_Monitoring
2021,Andhra Pradesh,Amaravati,City_Level_Aggregate,SO2,14,Integrated_Annual
2021,Andhra Pradesh,Amaravati,City_Level_Aggregate,NO2,12,Integrated_Annual
2021,Andhra Pradesh,Amaravati,City_Level_Aggregate,PM10,55,Integrated_Annual
2021,Andhra Pradesh,Amaravati,City_Level_Aggregate,PM2.5,28,Integrated_Annual
2021,Delhi,Delhi,City_Level_Aggregate,SO2,10,Integrated_Annual
2021,Delhi,Delhi,City_Level_Aggregate,NO2,42,Integrated_Annual
2021,Delhi,Delhi,City_Level_Aggregate,PM10,207,Integrated_Annual
2021,Delhi,Delhi,City_Level_Aggregate,PM2.5,107,Integrated_Annual
2022,Maharashtra,Pune,City_Level_Aggregate,SO2,47,Integrated_Annual
2022,Maharashtra,Pune,City_Level_Aggregate,NO2,64,Integrated_Annual
2022,Maharashtra,Pune,City_Level_Aggregate,PM10,110,Integrated_Annual
2022,Maharashtra,Pune,City_Level_Aggregate,PM2.5,73,Integrated_Annual
2023,Uttar Pradesh,Gorakhpur,City_Level_Aggregate,SO2,37,Integrated_Annual
2023,Uttar Pradesh,Gorakhpur,City_Level_Aggregate,NO2,5,Integrated_Annual
2023,Uttar Pradesh,Gorakhpur,City_Level_Aggregate,PM10,115,Integrated_Annual
2023,Uttar Pradesh,Gorakhpur,City_Level_Aggregate,PM2.5,48,Integrated_Annual
